plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1j,2,7.6,n,n,n,
1j,2,3.9,y,n,n,
1j,2,1.9,n,n,n,
1j,2,2.7,y,n,n,
1j,2,5.4,y,n,n,
1j,2,2.7,y,n,n,
1j,2,7.7,n,n,n,
1j,2,6.4,n,n,n,
1j,2,9.5,n,n,n,
1j,2,9,n,n,n,
1j,2,7.7,n,n,n,
1j,2,13.8,n,n,n,
1j,2,7.4,n,n,n,
1j,3,22.4,n,n,n,
1j,3,14.4,n,n,n,
1j,3,16.5,n,n,n,
1j,3,20.5,n,n,n,
1j,3,11.9,n,n,n,
1j,3,5.1,y,n,n,
1j,3,5.6,y,n,n,
1j,3,7.7,n,n,n,
1j,3,5.1,y,n,n,
1j,3,4.6,y,n,n,
1j,4,7.1,n,n,n,
1j,4,4.2,n,n,n,
1j,4,1.2,n,n,n,
1j,4,4,n,n,n,
1j,4,5.5,n,n,n,
1j,4,0.9,n,n,n,
1j,5,11,n,n,n,
1j,5,11.7,n,n,n,
1j,6,17.1,n,n,n,
1j,6,15.6,n,n,n,
1j,6,11.3,n,n,n,
1j,6,3.6,y,n,n,
1j,6,3.4,y,n,n,
1j,6,5.8,n,n,n,
1j,7,1.1,y,n,n,
1j,7,1.4,n,n,n,
1j,7,9.9,n,n,n,
1j,7,6.9,n,n,n,
1j,7,10.2,n,n,n,
1j,7,1.1,n,n,n,
1j,7,5.4,n,n,n,
1j,8,15.2,n,n,n,
1j,8,13.9,n,n,n,
1j,8,9.4,n,n,n,
1j,8,4.7,n,n,n,
1j,8,5.4,y,n,n,
1j,8,6.4,n,n,n,
1j,8,1.3,y,n,n,
1j,8,2,n,n,n,
1j,9,0.4,y,n,n,
1j,9,1.1,y,n,n,
1j,9,1.7,n,n,n,
1j,9,1.8,y,n,n,
1j,9,1.8,y,n,n,
1j,9,5.8,y,n,n,
1j,9,5.6,y,n,n,
1j,9,25.1,n,n,n,
1j,9,9.7,n,n,n,
1j,10,4.8,n,n,n,
1j,10,1.5,y,n,n,
1j,10,2.8,y,n,n,
1j,10,3.2,n,n,n,
1j,10,5.8,n,n,n,
1j,10,1.1,y,n,n,
1j,10,12.5,n,n,n,
1j,10,21,n,n,n,
1j,10,15.4,n,n,n,
1j,10,12.6,n,n,n,
1j,10,15.4,n,n,n,
2e,8,8.7,n,n,n,
2e,8,9.9,n,n,n,
2e,8,11.1,n,n,n,
2e,8,7.7,n,n,n,
2e,8,9.8,n,n,n,
2e,8,8.9,n,n,n,
2e,8,5.5,n,n,n,
2e,8,1.2,y,n,n,
2e,8,2.4,y,n,n,
2e,8,3.1,n,n,n,
2e,8,6.9,n,n,n,
2e,8,3.5,n,n,n,
2e,8,2.7,n,n,n,
2e,8,1.1,y,n,n,
2e,6,10,n,n,n,
2e,6,8.7,n,n,n,
2e,6,7.6,n,n,n,
2e,6,4.6,n,n,n,
2e,6,5.9,n,n,n,
2e,6,2.3,y,n,n,
2e,6,2.7,y,n,n,
2e,6,6.9,n,n,n,
2e,6,6.1,n,n,n,
2e,6,5,n,n,n,
2e,6,1.1,y,n,n,
2e,6,2.2,y,n,n,
2e,6,0.7,y,n,n,
2e,6,1.3,y,n,n,
2e,7,10.1,n,n,n,
2e,7,11.2,n,n,n,
2e,7,11.8,n,n,n,
2e,7,2.2,y,n,n,
2e,7,1.8,y,n,n,
2e,7,2.6,y,n,n,
2e,10,12.9,n,n,n,
2e,10,8.2,n,n,n,
2e,10,10,n,n,n,
2e,10,1.6,y,n,n,
2e,10,3.5,y,n,n,
2e,10,1.4,y,n,n,
2e,10,2.4,y,n,n,
2e,10,2.7,y,n,n,
2e,10,0.9,y,n,n,
2e,10,3,y,n,n,
2e,10,1.3,y,n,n,
2e,5,1.8,y,n,n,
2e,5,4.4,y,n,n,
2e,5,5.8,n,n,n,
2e,5,2.2,y,n,n,
2e,5,4.9,n,n,n,
2e,5,4.9,n,n,n,
2e,5,0.5,y,n,n,
2e,5,4.6,n,n,n,
2e,2,10.1,n,n,n,
2e,2,9.8,n,n,n,
2e,2,10.3,n,n,n,
2e,2,2.8,n,n,n,
2e,2,5.4,n,n,n,
2e,2,1.3,y,n,n,
2e,2,5.4,n,n,n,
2e,2,0.9,y,n,n,
2e,2,7,n,n,n,
2e,2,1.7,n,n,n,
2e,4,0.6,y,n,n,
2e,4,1.9,y,n,n,
2e,4,3.2,n,n,n,
2e,4,5.5,n,n,n,
2e,4,6.7,n,n,n,
2e,4,5.7,n,n,n,
2e,4,7.4,n,n,n,
2e,4,1.1,y,n,n,
2e,4,1,y,n,n,
2e,4,3.3,n,n,n,
2e,4,7.3,n,n,n,
2e,1,9.4,n,n,n,
2e,1,9.2,n,n,n,
2e,1,1,y,n,n,
2e,1,1.4,n,n,n,
2e,1,3.8,n,n,n,
